year,revenue_growth,gross_margin,operating_margin,net_margin,roa,roe,current_ratio,debt_to_equity,equity_ratio,cfo_to_net_income,fcf,net_debt,ebitda,net_debt_to_ebitda,operating_income_to_finance_costs
2023,,-0.016280674323063078,-0.23592685391704665,-0.27887521711334945,,,1.450322522909337,0.875198677655354,0.5332768265655697,-0.46819906918125836,-4501657000000,21881303000000,,,-1.2686855620402329
2024,1.020189454716376,0.48083883845049386,0.35452892573470046,0.2990786633503019,0.17982031812885083,0.31073593659040577,1.6934962983233945,0.6215121079006432,0.6167083151137803,1.50507816829118,13133245000000,11478616000000,36048856000000.0,0.31841831541061943,4.111305419396682
2025,0.46762850611303675,0.6041461532265515,0.4859283037736495,0.4420933809623438,0.2902249345684811,0.4414365313666127,1.8582111575540052,0.4594547175634156,0.6851874114117887,1.2427411704534486,24793783000000,7324139000000,61136449000000.0,0.11979987584820309,3.7749961255491606
